customer_age,customer_tenure_months,vehicle_age_years,idv,claim_amount,repair_estimate,police_report_filed,accident_type,damage_type,previous_claims_count,engine_guard_addon,tyre_rim_addon,vehicle_fire,theft,fraud_label
21,66,9,937361,443094,449499,True,Theft,Engine,2,False,False,False,True,False
31,76,10,780647,617256,636835,True,Rollover,Rear bumper,3,True,True,False,False,False
43,110,10,684803,541776,544175,False,Side collision,Side panel,4,False,False,False,False,True
23,59,12,860233,492129,501560,True,Side collision,Windshield,2,True,False,False,False,False
40,98,5,345595,273198,282678,True,Fire,Front bumper,2,True,True,True,False,False
66,111,5,358474,111726,127820,False,Fire,Windshield,3,True,False,True,False,False
60,108,2,588860,303105,315235,True,Rear-end collision,Windshield,2,True,False,False,False,False
60,73,1,869736,53448,76028,False,Rollover,Total loss,6,False,False,False,False,True
36,27,2,637799,290997,302785,False,Side collision,Windshield,1,True,False,False,False,False
28,93,1,638342,238222,252458,True,Side collision,Front bumper,2,False,True,False,False,False
68,11,12,649550,438705,463429,True,Side collision,Engine,2,True,True,False,False,False
23,105,1,850905,76048,92229,True,Theft,Windshield,5,True,True,False,True,False
47,36,5,945896,297832,324563,True,Hit and run,Front bumper,6,False,False,False,False,False
64,27,9,1195704,156767,185890,True,Hit and run,Windshield,6,False,False,False,False,False
48,88,4,1071503,33943,47082,True,Hit and run,Engine,4,True,True,False,False,False
48,2,0,771785,539411,549646,True,Rear-end collision,Rear bumper,4,True,True,False,False,False
23,94,3,612736,359218,362840,False,Theft,Front bumper,0,True,False,False,True,True
70,67,4,1047996,289670,295384,True,Rollover,Front bumper,3,True,False,False,False,False
45,6,3,892857,169559,172462,True,Fire,Engine,5,False,False,True,False,False
25,93,7,1025336,153632,175347,True,Rear-end collision,Engine,4,False,False,False,False,False
35,77,8,465919,59404,78169,False,Theft,Windshield,5,True,True,False,True,True
47,70,5,407428,112958,133474,True,Side collision,Windshield,0,False,True,False,False,False
45,87,5,1073735,540744,565852,False,Fire,Rear bumper,0,False,False,True,False,False
70,42,5,308782,64289,91915,True,Side collision,Windshield,3,True,False,False,False,False
27,103,10,940555,400182,426239,True,Theft,Engine,2,False,False,False,True,False
55,85,11,341573,206352,214386,True,Hit and run,Engine,6,False,True,False,False,False
25,77,11,374108,273645,276443,True,Rear-end collision,Front bumper,6,True,True,False,False,True
31,20,7,1116069,588363,609586,False,Rear-end collision,Engine,4,False,True,False,False,False
68,58,11,457352,11046,23760,False,Hit and run,Total loss,6,True,True,False,False,True
50,37,8,1024475,588749,592920,True,Theft,Engine,0,True,True,False,True,False
62,117,1,713711,277716,288823,False,Rear-end collision,Windshield,5,True,True,False,False,False
50,16,5,884175,143360,169045,False,Fire,Total loss,4,True,True,True,False,False
33,5,5,324674,143399,156689,False,Rear-end collision,Total loss,0,True,True,False,False,True
29,105,1,1070980,254086,263153,True,Side collision,Side panel,4,True,False,False,False,True
46,84,1,1155936,323751,335992,True,Fire,Side panel,4,True,False,True,False,True
51,110,6,953801,621499,641617,True,Theft,Front bumper,0,False,True,False,True,False
35,66,6,1133655,52120,66461,True,Hit and run,Side panel,3,True,True,False,False,False
29,42,6,815449,207462,223012,False,Rollover,Side panel,4,False,False,False,False,True
69,92,10,1140793,744568,759510,False,Rollover,Engine,1,True,True,False,False,False
45,115,4,717050,241893,259285,True,Hit and run,Total loss,6,True,True,False,False,False
35,57,9,957368,268982,288987,True,Hit and run,Windshield,1,False,False,False,False,True
24,32,3,881962,666608,670307,False,Rollover,Windshield,5,False,True,False,False,True
37,6,6,1179456,57170,61091,True,Rollover,Rear bumper,3,True,True,False,False,True
46,46,10,319837,236883,239610,True,Rollover,Rear bumper,3,True,False,False,False,False
37,81,4,330374,176595,196542,True,Rear-end collision,Windshield,1,False,False,False,False,False
65,34,2,317382,244593,270486,True,Hit and run,Windshield,4,False,True,False,False,True
56,94,8,581364,99004,126133,True,Hit and run,Side panel,4,False,False,False,False,False
27,76,8,309564,225403,247182,True,Side collision,Front bumper,0,False,True,False,False,False
24,6,11,677056,436822,441719,False,Side collision,Front bumper,0,False,True,False,False,False
64,84,10,854091,551257,558328,False,Theft,Front bumper,5,False,False,False,True,True
47,75,6,522745,309441,315611,False,Rollover,Windshield,2,False,False,False,False,False
37,18,10,1015568,768823,770965,True,Rear-end collision,Engine,4,True,False,False,False,True
66,55,5,1114401,545949,550636,True,Rear-end collision,Engine,3,True,False,False,False,False
29,40,0,613237,100192,116557,True,Fire,Rear bumper,3,False,True,True,False,False
47,27,7,944961,578345,580489,True,Fire,Engine,0,False,False,True,False,True
70,108,1,725987,108602,135596,True,Theft,Front bumper,4,False,True,False,True,False
21,85,2,1179227,575938,593112,True,Rear-end collision,Windshield,2,True,True,False,False,False
48,11,12,1146614,542782,547735,True,Rear-end collision,Total loss,0,True,True,False,False,False
40,72,5,681069,126006,139871,True,Theft,Windshield,1,True,True,False,True,False
41,26,2,760087,468176,473151,True,Theft,Engine,4,True,False,False,True,False
39,92,11,327587,194764,210492,True,Theft,Front bumper,1,False,True,False,True,False
53,15,10,471284,300823,305749,False,Theft,Total loss,3,True,False,False,True,True
68,79,11,819320,560845,582689,False,Rear-end collision,Side panel,5,True,True,False,False,True
69,19,7,732857,400814,410483,True,Theft,Engine,0,True,False,False,True,False
38,63,1,713189,424924,430376,True,Rear-end collision,Windshield,4,False,False,False,False,False
62,29,11,432459,240622,254179,False,Rollover,Side panel,3,True,False,False,False,False
34,81,1,1173032,673766,702136,True,Side collision,Front bumper,6,True,False,False,False,False
37,75,12,993827,336250,357800,True,Theft,Engine,6,True,False,False,True,False
54,13,0,305191,152180,179839,False,Theft,Engine,1,False,True,False,True,False
38,40,0,336218,113388,123057,True,Fire,Total loss,1,False,False,True,False,False
36,100,2,1121121,525655,551350,True,Rollover,Total loss,6,True,False,False,False,False
28,8,10,460566,55399,65850,False,Side collision,Rear bumper,6,False,True,False,False,True
36,55,12,419633,85737,89698,True,Hit and run,Total loss,3,True,False,False,False,False
52,96,9,854724,499091,527680,False,Rear-end collision,Front bumper,1,False,True,False,False,False
42,76,0,371603,220059,231797,False,Rear-end collision,Total loss,5,False,True,False,False,True
62,75,0,1181846,741505,762502,True,Theft,Rear bumper,4,True,True,False,True,False
54,62,0,509459,131114,136285,True,Hit and run,Total loss,5,True,False,False,False,False
27,75,2,1120000,646601,651969,True,Rear-end collision,Engine,4,True,False,False,False,True
26,65,9,915104,595786,598323,True,Fire,Total loss,2,True,True,True,False,False
24,35,5,1038319,282645,291687,True,Rollover,Rear bumper,5,False,False,False,False,True
60,93,0,728127,352273,370174,True,Fire,Windshield,5,False,False,True,False,False
48,23,11,553832,331497,360146,True,Rollover,Windshield,4,False,True,False,False,True
53,43,8,834456,579040,587785,True,Theft,Front bumper,6,True,True,False,True,False
21,35,2,508974,76908,102093,True,Fire,Front bumper,1,False,True,True,False,False
27,72,10,684481,52433,67886,True,Side collision,Total loss,3,False,False,False,False,False
46,120,11,890574,597708,608509,False,Fire,Engine,4,False,False,True,False,True
53,71,1,626707,351705,377283,False,Theft,Side panel,1,False,False,False,True,True
60,114,1,729029,258703,277574,True,Rear-end collision,Total loss,1,True,False,False,False,False
46,82,10,881991,514106,520387,True,Rear-end collision,Windshield,0,True,False,False,False,False
41,78,8,366202,141588,145375,True,Side collision,Engine,1,True,False,False,False,False
30,17,7,330738,55661,72244,True,Side collision,Front bumper,5,True,False,False,False,False
70,17,7,1130477,73872,100582,True,Side collision,Side panel,1,False,False,False,False,False
42,25,11,381803,69025,96452,True,Rear-end collision,Engine,5,True,True,False,False,False
42,77,2,724295,85967,110265,True,Theft,Total loss,5,False,True,False,True,False
26,67,2,1143288,777190,802034,False,Hit and run,Total loss,3,False,False,False,False,False
60,81,4,741493,126828,142545,True,Theft,Engine,6,False,True,False,True,False
62,44,11,919653,545110,559495,False,Rollover,Front bumper,0,False,True,False,False,False
39,56,9,336886,26895,51567,True,Theft,Windshield,6,True,True,False,True,False
39,19,11,319463,144409,172676,True,Rollover,Engine,3,True,True,False,False,False
70,22,4,994496,460035,466929,False,Rear-end collision,Rear bumper,2,True,True,False,False,True
46,65,2,959344,192245,206950,False,Theft,Total loss,4,True,True,False,True,True
35,108,7,566389,138497,152395,True,Fire,Rear bumper,6,True,False,True,False,False
22,6,8,1149132,621883,626270,True,Fire,Engine,0,True,True,True,False,False
33,51,9,1141962,135741,151580,True,Hit and run,Side panel,1,False,False,False,False,False
53,91,10,522282,319211,331604,True,Side collision,Windshield,6,True,True,False,False,False
50,40,5,540224,137032,148002,True,Side collision,Engine,2,True,True,False,False,False
68,108,0,769477,172297,183551,False,Rollover,Front bumper,4,False,False,False,False,True
60,30,8,859923,264928,274270,True,Fire,Front bumper,1,False,False,True,False,False
63,54,0,721276,485721,506385,True,Fire,Engine,5,True,True,True,False,False
28,41,3,404429,129192,147874,True,Rear-end collision,Engine,0,True,True,False,False,False
24,8,7,645336,505822,508598,False,Side collision,Engine,5,False,True,False,False,True
35,74,0,411551,160974,182085,True,Rear-end collision,Windshield,6,False,False,False,False,False
66,22,9,973508,405628,409205,True,Hit and run,Total loss,6,False,False,False,False,False
36,51,5,623315,452748,464352,True,Rear-end collision,Total loss,3,True,False,False,False,False
68,15,6,693168,130731,133141,True,Rollover,Engine,3,True,True,False,False,False
28,54,11,481109,143554,167009,True,Rollover,Rear bumper,3,True,True,False,False,False
25,19,9,974883,96027,111806,False,Rollover,Side panel,6,False,True,False,False,True
43,65,7,906149,522875,549845,False,Hit and run,Side panel,5,True,False,False,False,True
51,110,11,749928,259720,276617,True,Side collision,Engine,0,True,False,False,False,False
27,4,4,506937,34196,57162,True,Hit and run,Side panel,5,False,True,False,False,False
48,104,12,508766,259485,277033,True,Theft,Front bumper,5,False,True,False,True,False
46,97,3,1158695,380887,384432,False,Rollover,Total loss,2,False,False,False,False,False
41,59,4,760174,81205,94729,True,Hit and run,Windshield,0,False,True,False,False,False
68,41,11,702369,299535,325578,True,Rear-end collision,Windshield,1,True,False,False,False,False
47,90,2,1007884,235510,263196,True,Side collision,Engine,5,False,False,False,False,False
21,45,12,936177,23993,42351,False,Hit and run,Engine,6,True,False,False,False,True
34,6,0,1057499,124300,143973,True,Rear-end collision,Engine,4,False,False,False,False,False
52,95,9,870213,210878,229773,True,Theft,Engine,2,False,False,False,True,False
22,21,5,626081,129129,135865,True,Side collision,Total loss,4,False,False,False,False,False
36,88,3,1138158,629593,650325,True,Fire,Rear bumper,0,False,False,True,False,False
46,22,9,987481,543422,553547,True,Side collision,Front bumper,4,True,False,False,False,False
64,2,1,628260,40081,66942,True,Side collision,Side panel,1,False,False,False,False,False
69,27,12,897714,421434,448651,True,Rollover,Total loss,1,False,True,False,False,False
